Year,StateTerritory,GeographicUnit,GeographicCode,GeographicAreaName,GeographicGroup,DemographicGroup,EstimatedResidentPopulation
2013-14,NAT,NAT,001NAT,National,National,0-14,4377926
2013-14,NAT,NAT,001NAT,National,National,15-24,3111984
2013-14,NAT,NAT,001NAT,National,National,25-44,6596790
2013-14,NAT,NAT,001NAT,National,National,45-64,5711051
2013-14,NAT,NAT,001NAT,National,National,65-79,2447175
2013-14,NAT,NAT,001NAT,National,National,80+,883203
2013-14,NAT,NAT,001NAT,National,National,0-64,19797751
2013-14,NAT,NAT,001NAT,National,National,65+,3330378
2013-14,NAT,NAT,001NAT,National,National,All persons,23128129
2013-14,NAT,NAT,001NAT,National,National,Females,11621964
2013-14,NAT,NAT,001NAT,National,National,Males,11506165
2013-14,,PHN,003MET,Metropolitan,Metropolitan,0-14,2774717
2013-14,,PHN,003MET,Metropolitan,Metropolitan,15-24,2086836
2013-14,,PHN,003MET,Metropolitan,Metropolitan,25-44,4567505
2013-14,,PHN,003MET,Metropolitan,Metropolitan,45-64,3548388
2013-14,,PHN,003MET,Metropolitan,Metropolitan,65-79,1434501
2013-14,,PHN,003MET,Metropolitan,Metropolitan,80+,532452
2013-14,,PHN,003MET,Metropolitan,Metropolitan,0-64,12977446
2013-14,,PHN,003MET,Metropolitan,Metropolitan,65+,1966953
2013-14,,PHN,003MET,Metropolitan,Metropolitan,All persons,14944399
2013-14,,PHN,003MET,Metropolitan,Metropolitan,Females,7534027
2013-14,,PHN,003MET,Metropolitan,Metropolitan,Males,7410372
2013-14,,PHN,003REG,Regional,Regional,0-14,1603209
2013-14,,PHN,003REG,Regional,Regional,15-24,1025148
2013-14,,PHN,003REG,Regional,Regional,25-44,2029285
2013-14,,PHN,003REG,Regional,Regional,45-64,2162663
2013-14,,PHN,003REG,Regional,Regional,65-79,1012674
2013-14,,PHN,003REG,Regional,Regional,80+,350751
2013-14,,PHN,003REG,Regional,Regional,0-64,6820305
2013-14,,PHN,003REG,Regional,Regional,65+,1363425
2013-14,,PHN,003REG,Regional,Regional,All persons,8183730
2013-14,,PHN,003REG,Regional,Regional,Females,4087937
2013-14,,PHN,003REG,Regional,Regional,Males,4095793
2013-14,NSW,PHN,PHN101,Central and Eastern Sydney,Metropolitan,0-14,231894
2013-14,NSW,PHN,PHN101,Central and Eastern Sydney,Metropolitan,15-24,199792
2013-14,NSW,PHN,PHN101,Central and Eastern Sydney,Metropolitan,25-44,521440
2013-14,NSW,PHN,PHN101,Central and Eastern Sydney,Metropolitan,45-64,333988
2013-14,NSW,PHN,PHN101,Central and Eastern Sydney,Metropolitan,65-79,137897
2013-14,NSW,PHN,PHN101,Central and Eastern Sydney,Metropolitan,80+,56266
2013-14,NSW,PHN,PHN101,Central and Eastern Sydney,Metropolitan,0-64,1287114
2013-14,NSW,PHN,PHN101,Central and Eastern Sydney,Metropolitan,65+,194163
2013-14,NSW,PHN,PHN101,Central and Eastern Sydney,Metropolitan,All persons,1481277
2013-14,NSW,PHN,PHN101,Central and Eastern Sydney,Metropolitan,Females,742851
2013-14,NSW,PHN,PHN101,Central and Eastern Sydney,Metropolitan,Males,738426
2013-14,NSW,PHN,PHN102,Northern Sydney,Metropolitan,0-14,161341
2013-14,NSW,PHN,PHN102,Northern Sydney,Metropolitan,15-24,105249
2013-14,NSW,PHN,PHN102,Northern Sydney,Metropolitan,25-44,255878
2013-14,NSW,PHN,PHN102,Northern Sydney,Metropolitan,45-64,218439
2013-14,NSW,PHN,PHN102,Northern Sydney,Metropolitan,65-79,92691
2013-14,NSW,PHN,PHN102,Northern Sydney,Metropolitan,80+,40624
2013-14,NSW,PHN,PHN102,Northern Sydney,Metropolitan,0-64,740907
2013-14,NSW,PHN,PHN102,Northern Sydney,Metropolitan,65+,133315
2013-14,NSW,PHN,PHN102,Northern Sydney,Metropolitan,All persons,874222
2013-14,NSW,PHN,PHN102,Northern Sydney,Metropolitan,Females,447377
2013-14,NSW,PHN,PHN102,Northern Sydney,Metropolitan,Males,426845
2013-14,NSW,PHN,PHN103,Western Sydney,Metropolitan,0-14,185892
2013-14,NSW,PHN,PHN103,Western Sydney,Metropolitan,15-24,123274
2013-14,NSW,PHN,PHN103,Western Sydney,Metropolitan,25-44,279009
2013-14,NSW,PHN,PHN103,Western Sydney,Metropolitan,45-64,199487
2013-14,NSW,PHN,PHN103,Western Sydney,Metropolitan,65-79,72684
2013-14,NSW,PHN,PHN103,Western Sydney,Metropolitan,80+,22745
2013-14,NSW,PHN,PHN103,Western Sydney,Metropolitan,0-64,787662
2013-14,NSW,PHN,PHN103,Western Sydney,Metropolitan,65+,95429
2013-14,NSW,PHN,PHN103,Western Sydney,Metropolitan,All persons,883091
2013-14,NSW,PHN,PHN103,Western Sydney,Metropolitan,Females,438342
2013-14,NSW,PHN,PHN103,Western Sydney,Metropolitan,Males,444749
2013-14,NSW,PHN,PHN104,Nepean Blue Mountains,Metropolitan,0-14,72958
2013-14,NSW,PHN,PHN104,Nepean Blue Mountains,Metropolitan,15-24,49311
2013-14,NSW,PHN,PHN104,Nepean Blue Mountains,Metropolitan,25-44,96198
2013-14,NSW,PHN,PHN104,Nepean Blue Mountains,Metropolitan,45-64,91846
2013-14,NSW,PHN,PHN104,Nepean Blue Mountains,Metropolitan,65-79,34958
2013-14,NSW,PHN,PHN104,Nepean Blue Mountains,Metropolitan,80+,10239
2013-14,NSW,PHN,PHN104,Nepean Blue Mountains,Metropolitan,0-64,310313
2013-14,NSW,PHN,PHN104,Nepean Blue Mountains,Metropolitan,65+,45197
2013-14,NSW,PHN,PHN104,Nepean Blue Mountains,Metropolitan,All persons,355510
2013-14,NSW,PHN,PHN104,Nepean Blue Mountains,Metropolitan,Females,179087
2013-14,NSW,PHN,PHN104,Nepean Blue Mountains,Metropolitan,Males,176423
2013-14,NSW,PHN,PHN105,South Western Sydney,Metropolitan,0-14,193727
2013-14,NSW,PHN,PHN105,South Western Sydney,Metropolitan,15-24,131750
2013-14,NSW,PHN,PHN105,South Western Sydney,Metropolitan,25-44,249507
2013-14,NSW,PHN,PHN105,South Western Sydney,Metropolitan,45-64,219698
2013-14,NSW,PHN,PHN105,South Western Sydney,Metropolitan,65-79,81653
2013-14,NSW,PHN,PHN105,South Western Sydney,Metropolitan,80+,27625
2013-14,NSW,PHN,PHN105,South Western Sydney,Metropolitan,0-64,794682
2013-14,NSW,PHN,PHN105,South Western Sydney,Metropolitan,65+,109278
2013-14,NSW,PHN,PHN105,South Western Sydney,Metropolitan,All persons,903960
2013-14,NSW,PHN,PHN105,South Western Sydney,Metropolitan,Females,455502
2013-14,NSW,PHN,PHN105,South Western Sydney,Metropolitan,Males,448458
2013-14,NSW,PHN,PHN106,South Eastern NSW,Regional,0-14,108783
2013-14,NSW,PHN,PHN106,South Eastern NSW,Regional,15-24,74795
2013-14,NSW,PHN,PHN106,South Eastern NSW,Regional,25-44,140563
2013-14,NSW,PHN,PHN106,South Eastern NSW,Regional,45-64,159039
2013-14,NSW,PHN,PHN106,South Eastern NSW,Regional,65-79,80327
2013-14,NSW,PHN,PHN106,South Eastern NSW,Regional,80+,28482
2013-14,NSW,PHN,PHN106,South Eastern NSW,Regional,0-64,483180
2013-14,NSW,PHN,PHN106,South Eastern NSW,Regional,65+,108809
2013-14,NSW,PHN,PHN106,South Eastern NSW,Regional,All persons,591989
2013-14,NSW,PHN,PHN106,South Eastern NSW,Regional,Females,296648
2013-14,NSW,PHN,PHN106,South Eastern NSW,Regional,Males,295341
2013-14,NSW,PHN,PHN107,Western NSW,Regional,0-14,63041
2013-14,NSW,PHN,PHN107,Western NSW,Regional,15-24,38631
2013-14,NSW,PHN,PHN107,Western NSW,Regional,25-44,71277
2013-14,NSW,PHN,PHN107,Western NSW,Regional,45-64,78352
2013-14,NSW,PHN,PHN107,Western NSW,Regional,65-79,38871
2013-14,NSW,PHN,PHN107,Western NSW,Regional,80+,13661
2013-14,NSW,PHN,PHN107,Western NSW,Regional,0-64,251301
2013-14,NSW,PHN,PHN107,Western NSW,Regional,65+,52532
2013-14,NSW,PHN,PHN107,Western NSW,Regional,All persons,303833
2013-14,NSW,PHN,PHN107,Western NSW,Regional,Females,151612
2013-14,NSW,PHN,PHN107,Western NSW,Regional,Males,152221
2013-14,NSW,PHN,PHN108,Hunter New England and Central Coast,Regional,0-14,232160
2013-14,NSW,PHN,PHN108,Hunter New England and Central Coast,Regional,15-24,155257
2013-14,NSW,PHN,PHN108,Hunter New England and Central Coast,Regional,25-44,293829
2013-14,NSW,PHN,PHN108,Hunter New England and Central Coast,Regional,45-64,313496
2013-14,NSW,PHN,PHN108,Hunter New England and Central Coast,Regional,65-79,161286
2013-14,NSW,PHN,PHN108,Hunter New England and Central Coast,Regional,80+,61770
2013-14,NSW,PHN,PHN108,Hunter New England and Central Coast,Regional,0-64,994742
2013-14,NSW,PHN,PHN108,Hunter New England and Central Coast,Regional,65+,223056
2013-14,NSW,PHN,PHN108,Hunter New England and Central Coast,Regional,All persons,1217798
2013-14,NSW,PHN,PHN108,Hunter New England and Central Coast,Regional,Females,616901
2013-14,NSW,PHN,PHN108,Hunter New England and Central Coast,Regional,Males,600897
2013-14,NSW,PHN,PHN109,North Coast,Regional,0-14,91305
2013-14,NSW,PHN,PHN109,North Coast,Regional,15-24,55015
2013-14,NSW,PHN,PHN109,North Coast,Regional,25-44,105027
2013-14,NSW,PHN,PHN109,North Coast,Regional,45-64,144953
2013-14,NSW,PHN,PHN109,North Coast,Regional,65-79,76632
2013-14,NSW,PHN,PHN109,North Coast,Regional,80+,30152
2013-14,NSW,PHN,PHN109,North Coast,Regional,0-64,396300
2013-14,NSW,PHN,PHN109,North Coast,Regional,65+,106784
2013-14,NSW,PHN,PHN109,North Coast,Regional,All persons,503084
2013-14,NSW,PHN,PHN109,North Coast,Regional,Females,256425
2013-14,NSW,PHN,PHN109,North Coast,Regional,Males,246659
2013-14,NSW,PHN,PHN110,Murrumbidgee,Regional,0-14,48588
2013-14,NSW,PHN,PHN110,Murrumbidgee,Regional,15-24,30505
2013-14,NSW,PHN,PHN110,Murrumbidgee,Regional,25-44,54750
2013-14,NSW,PHN,PHN110,Murrumbidgee,Regional,45-64,62047
2013-14,NSW,PHN,PHN110,Murrumbidgee,Regional,65-79,31685
2013-14,NSW,PHN,PHN110,Murrumbidgee,Regional,80+,11729
2013-14,NSW,PHN,PHN110,Murrumbidgee,Regional,0-64,195890
2013-14,NSW,PHN,PHN110,Murrumbidgee,Regional,65+,43414
2013-14,NSW,PHN,PHN110,Murrumbidgee,Regional,All persons,239304
2013-14,NSW,PHN,PHN110,Murrumbidgee,Regional,Females,119236
2013-14,NSW,PHN,PHN110,Murrumbidgee,Regional,Males,120068
2013-14,Vic,PHN,PHN201,North Western Melbourne,Metropolitan,0-14,279502
2013-14,Vic,PHN,PHN201,North Western Melbourne,Metropolitan,15-24,224915
2013-14,Vic,PHN,PHN201,North Western Melbourne,Metropolitan,25-44,534062
2013-14,Vic,PHN,PHN201,North Western Melbourne,Metropolitan,45-64,330587
2013-14,Vic,PHN,PHN201,North Western Melbourne,Metropolitan,65-79,123201
2013-14,Vic,PHN,PHN201,North Western Melbourne,Metropolitan,80+,45198
2013-14,Vic,PHN,PHN201,North Western Melbourne,Metropolitan,0-64,1369066
2013-14,Vic,PHN,PHN201,North Western Melbourne,Metropolitan,65+,168399
2013-14,Vic,PHN,PHN201,North Western Melbourne,Metropolitan,All persons,1537465
2013-14,Vic,PHN,PHN201,North Western Melbourne,Metropolitan,Females,773164
2013-14,Vic,PHN,PHN201,North Western Melbourne,Metropolitan,Males,764301
2013-14,Vic,PHN,PHN202,Eastern Melbourne,Metropolitan,0-14,257386
2013-14,Vic,PHN,PHN202,Eastern Melbourne,Metropolitan,15-24,201590
2013-14,Vic,PHN,PHN202,Eastern Melbourne,Metropolitan,25-44,396030
2013-14,Vic,PHN,PHN202,Eastern Melbourne,Metropolitan,45-64,358524
2013-14,Vic,PHN,PHN202,Eastern Melbourne,Metropolitan,65-79,155632
2013-14,Vic,PHN,PHN202,Eastern Melbourne,Metropolitan,80+,58652
2013-14,Vic,PHN,PHN202,Eastern Melbourne,Metropolitan,0-64,1213530
2013-14,Vic,PHN,PHN202,Eastern Melbourne,Metropolitan,65+,214284
2013-14,Vic,PHN,PHN202,Eastern Melbourne,Metropolitan,All persons,1427814
2013-14,Vic,PHN,PHN202,Eastern Melbourne,Metropolitan,Females,726253
2013-14,Vic,PHN,PHN202,Eastern Melbourne,Metropolitan,Males,701561
2013-14,Vic,PHN,PHN203,South Eastern Melbourne,Metropolitan,0-14,259602
2013-14,Vic,PHN,PHN203,South Eastern Melbourne,Metropolitan,15-24,180700
2013-14,Vic,PHN,PHN203,South Eastern Melbourne,Metropolitan,25-44,426722
2013-14,Vic,PHN,PHN203,South Eastern Melbourne,Metropolitan,45-64,337511
2013-14,Vic,PHN,PHN203,South Eastern Melbourne,Metropolitan,65-79,143803
2013-14,Vic,PHN,PHN203,South Eastern Melbourne,Metropolitan,80+,56450
2013-14,Vic,PHN,PHN203,South Eastern Melbourne,Metropolitan,0-64,1204535
2013-14,Vic,PHN,PHN203,South Eastern Melbourne,Metropolitan,65+,200253
2013-14,Vic,PHN,PHN203,South Eastern Melbourne,Metropolitan,All persons,1404788
2013-14,Vic,PHN,PHN203,South Eastern Melbourne,Metropolitan,Females,711832
2013-14,Vic,PHN,PHN203,South Eastern Melbourne,Metropolitan,Males,692956
2013-14,Vic,PHN,PHN204,Gippsland,Regional,0-14,48840
2013-14,Vic,PHN,PHN204,Gippsland,Regional,15-24,31111
2013-14,Vic,PHN,PHN204,Gippsland,Regional,25-44,59768
2013-14,Vic,PHN,PHN204,Gippsland,Regional,45-64,74083
2013-14,Vic,PHN,PHN204,Gippsland,Regional,65-79,39097
2013-14,Vic,PHN,PHN204,Gippsland,Regional,80+,13125
2013-14,Vic,PHN,PHN204,Gippsland,Regional,0-64,213802
2013-14,Vic,PHN,PHN204,Gippsland,Regional,65+,52222
2013-14,Vic,PHN,PHN204,Gippsland,Regional,All persons,266024
2013-14,Vic,PHN,PHN204,Gippsland,Regional,Females,133663
2013-14,Vic,PHN,PHN204,Gippsland,Regional,Males,132361
2013-14,Vic/NSW,PHN,PHN205,Murray,Regional,0-14,111592
2013-14,Vic/NSW,PHN,PHN205,Murray,Regional,15-24,73690
2013-14,Vic/NSW,PHN,PHN205,Murray,Regional,25-44,135870
2013-14,Vic/NSW,PHN,PHN205,Murray,Regional,45-64,157023
2013-14,Vic/NSW,PHN,PHN205,Murray,Regional,65-79,76781
2013-14,Vic/NSW,PHN,PHN205,Murray,Regional,80+,28833
2013-14,Vic/NSW,PHN,PHN205,Murray,Regional,0-64,478175
2013-14,Vic/NSW,PHN,PHN205,Murray,Regional,65+,105614
2013-14,Vic/NSW,PHN,PHN205,Murray,Regional,All persons,583789
2013-14,Vic/NSW,PHN,PHN205,Murray,Regional,Females,293089
2013-14,Vic/NSW,PHN,PHN205,Murray,Regional,Males,290700
2013-14,Vic,PHN,PHN206,Western Victoria,Regional,0-14,112808
2013-14,Vic,PHN,PHN206,Western Victoria,Regional,15-24,76840
2013-14,Vic,PHN,PHN206,Western Victoria,Regional,25-44,145667
2013-14,Vic,PHN,PHN206,Western Victoria,Regional,45-64,160753
2013-14,Vic,PHN,PHN206,Western Victoria,Regional,65-79,77035
2013-14,Vic,PHN,PHN206,Western Victoria,Regional,80+,30024
2013-14,Vic,PHN,PHN206,Western Victoria,Regional,0-64,496068
2013-14,Vic,PHN,PHN206,Western Victoria,Regional,65+,107059
2013-14,Vic,PHN,PHN206,Western Victoria,Regional,All persons,603127
2013-14,Vic,PHN,PHN206,Western Victoria,Regional,Females,304051
2013-14,Vic,PHN,PHN206,Western Victoria,Regional,Males,299076
2013-14,Qld,PHN,PHN301,Brisbane North,Metropolitan,0-14,174431
2013-14,Qld,PHN,PHN301,Brisbane North,Metropolitan,15-24,138074
2013-14,Qld,PHN,PHN301,Brisbane North,Metropolitan,25-44,280246
2013-14,Qld,PHN,PHN301,Brisbane North,Metropolitan,45-64,216636
2013-14,Qld,PHN,PHN301,Brisbane North,Metropolitan,65-79,87977
2013-14,Qld,PHN,PHN301,Brisbane North,Metropolitan,80+,31129
2013-14,Qld,PHN,PHN301,Brisbane North,Metropolitan,0-64,809387
2013-14,Qld,PHN,PHN301,Brisbane North,Metropolitan,65+,119106
2013-14,Qld,PHN,PHN301,Brisbane North,Metropolitan,All persons,928493
2013-14,Qld,PHN,PHN301,Brisbane North,Metropolitan,Females,468127
2013-14,Qld,PHN,PHN301,Brisbane North,Metropolitan,Males,460366
2013-14,Qld,PHN,PHN302,Brisbane South,Metropolitan,0-14,213049
2013-14,Qld,PHN,PHN302,Brisbane South,Metropolitan,15-24,157813
2013-14,Qld,PHN,PHN302,Brisbane South,Metropolitan,25-44,324685
2013-14,Qld,PHN,PHN302,Brisbane South,Metropolitan,45-64,252467
2013-14,Qld,PHN,PHN302,Brisbane South,Metropolitan,65-79,93795
2013-14,Qld,PHN,PHN302,Brisbane South,Metropolitan,80+,31780
2013-14,Qld,PHN,PHN302,Brisbane South,Metropolitan,0-64,948014
2013-14,Qld,PHN,PHN302,Brisbane South,Metropolitan,65+,125575
2013-14,Qld,PHN,PHN302,Brisbane South,Metropolitan,All persons,1073589
2013-14,Qld,PHN,PHN302,Brisbane South,Metropolitan,Females,539146
2013-14,Qld,PHN,PHN302,Brisbane South,Metropolitan,Males,534443
2013-14,Qld,PHN,PHN303,Gold Coast,Metropolitan,0-14,101825
2013-14,Qld,PHN,PHN303,Gold Coast,Metropolitan,15-24,75019
2013-14,Qld,PHN,PHN303,Gold Coast,Metropolitan,25-44,158706
2013-14,Qld,PHN,PHN303,Gold Coast,Metropolitan,45-64,136687
2013-14,Qld,PHN,PHN303,Gold Coast,Metropolitan,65-79,61728
2013-14,Qld,PHN,PHN303,Gold Coast,Metropolitan,80+,20497
2013-14,Qld,PHN,PHN303,Gold Coast,Metropolitan,0-64,472237
2013-14,Qld,PHN,PHN303,Gold Coast,Metropolitan,65+,82225
2013-14,Qld,PHN,PHN303,Gold Coast,Metropolitan,All persons,554462
2013-14,Qld,PHN,PHN303,Gold Coast,Metropolitan,Females,282098
2013-14,Qld,PHN,PHN303,Gold Coast,Metropolitan,Males,272364
2013-14,Qld,PHN,PHN304,Darling Downs and West Moreton,Regional,0-14,117457
2013-14,Qld,PHN,PHN304,Darling Downs and West Moreton,Regional,15-24,72676
2013-14,Qld,PHN,PHN304,Darling Downs and West Moreton,Regional,25-44,138394
2013-14,Qld,PHN,PHN304,Darling Downs and West Moreton,Regional,45-64,129658
2013-14,Qld,PHN,PHN304,Darling Downs and West Moreton,Regional,65-79,57178
2013-14,Qld,PHN,PHN304,Darling Downs and West Moreton,Regional,80+,17688
2013-14,Qld,PHN,PHN304,Darling Downs and West Moreton,Regional,0-64,458185
2013-14,Qld,PHN,PHN304,Darling Downs and West Moreton,Regional,65+,74866
2013-14,Qld,PHN,PHN304,Darling Downs and West Moreton,Regional,All persons,533051
2013-14,Qld,PHN,PHN304,Darling Downs and West Moreton,Regional,Females,267544
2013-14,Qld,PHN,PHN304,Darling Downs and West Moreton,Regional,Males,265507
2013-14,Qld,PHN,PHN305,Western Queensland,Regional,0-14,15629
2013-14,Qld,PHN,PHN305,Western Queensland,Regional,15-24,8698
2013-14,Qld,PHN,PHN305,Western Queensland,Regional,25-44,20471
2013-14,Qld,PHN,PHN305,Western Queensland,Regional,45-64,17019
2013-14,Qld,PHN,PHN305,Western Queensland,Regional,65-79,5884
2013-14,Qld,PHN,PHN305,Western Queensland,Regional,80+,1838
2013-14,Qld,PHN,PHN305,Western Queensland,Regional,0-64,61817
2013-14,Qld,PHN,PHN305,Western Queensland,Regional,65+,7722
2013-14,Qld,PHN,PHN305,Western Queensland,Regional,All persons,69539
2013-14,Qld,PHN,PHN305,Western Queensland,Regional,Females,33043
2013-14,Qld,PHN,PHN305,Western Queensland,Regional,Males,36496
2013-14,Qld,PHN,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",Regional,0-14,157875
2013-14,Qld,PHN,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",Regional,15-24,96313
2013-14,Qld,PHN,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",Regional,25-44,195544
2013-14,Qld,PHN,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",Regional,45-64,218907
2013-14,Qld,PHN,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",Regional,65-79,108794
2013-14,Qld,PHN,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",Regional,80+,34004
2013-14,Qld,PHN,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",Regional,0-64,668639
2013-14,Qld,PHN,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",Regional,65+,142798
2013-14,Qld,PHN,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",Regional,All persons,811437
2013-14,Qld,PHN,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",Regional,Females,408353
2013-14,Qld,PHN,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",Regional,Males,403084
2013-14,Qld,PHN,PHN307,Northern Queensland,Regional,0-14,143883
2013-14,Qld,PHN,PHN307,Northern Queensland,Regional,15-24,92011
2013-14,Qld,PHN,PHN307,Northern Queensland,Regional,25-44,192396
2013-14,Qld,PHN,PHN307,Northern Queensland,Regional,45-64,172820
2013-14,Qld,PHN,PHN307,Northern Queensland,Regional,65-79,62932
2013-14,Qld,PHN,PHN307,Northern Queensland,Regional,80+,18211
2013-14,Qld,PHN,PHN307,Northern Queensland,Regional,0-64,601110
2013-14,Qld,PHN,PHN307,Northern Queensland,Regional,65+,81143
2013-14,Qld,PHN,PHN307,Northern Queensland,Regional,All persons,682253
2013-14,Qld,PHN,PHN307,Northern Queensland,Regional,Females,335246
2013-14,Qld,PHN,PHN307,Northern Queensland,Regional,Males,347007
2013-14,SA,PHN,PHN401,Adelaide,Metropolitan,0-14,205116
2013-14,SA,PHN,PHN401,Adelaide,Metropolitan,15-24,163640
2013-14,SA,PHN,PHN401,Adelaide,Metropolitan,25-44,329082
2013-14,SA,PHN,PHN401,Adelaide,Metropolitan,45-64,297061
2013-14,SA,PHN,PHN401,Adelaide,Metropolitan,65-79,133057
2013-14,SA,PHN,PHN401,Adelaide,Metropolitan,80+,57346
2013-14,SA,PHN,PHN401,Adelaide,Metropolitan,0-64,994899
2013-14,SA,PHN,PHN401,Adelaide,Metropolitan,65+,190403
2013-14,SA,PHN,PHN401,Adelaide,Metropolitan,All persons,1185302
2013-14,SA,PHN,PHN401,Adelaide,Metropolitan,Females,602107
2013-14,SA,PHN,PHN401,Adelaide,Metropolitan,Males,583195
2013-14,SA,PHN,PHN402,Country SA,Regional,0-14,91625
2013-14,SA,PHN,PHN402,Country SA,Regional,15-24,56621
2013-14,SA,PHN,PHN402,Country SA,Regional,25-44,112195
2013-14,SA,PHN,PHN402,Country SA,Regional,45-64,137105
2013-14,SA,PHN,PHN402,Country SA,Regional,65-79,66161
2013-14,SA,PHN,PHN402,Country SA,Regional,80+,22479
2013-14,SA,PHN,PHN402,Country SA,Regional,0-64,397546
2013-14,SA,PHN,PHN402,Country SA,Regional,65+,88640
2013-14,SA,PHN,PHN402,Country SA,Regional,All persons,486186
2013-14,SA,PHN,PHN402,Country SA,Regional,Females,241417
2013-14,SA,PHN,PHN402,Country SA,Regional,Males,244769
2013-14,WA,PHN,PHN501,Perth North,Metropolitan,0-14,191385
2013-14,WA,PHN,PHN501,Perth North,Metropolitan,15-24,143472
2013-14,WA,PHN,PHN501,Perth North,Metropolitan,25-44,314493
2013-14,WA,PHN,PHN501,Perth North,Metropolitan,45-64,246560
2013-14,WA,PHN,PHN501,Perth North,Metropolitan,65-79,93718
2013-14,WA,PHN,PHN501,Perth North,Metropolitan,80+,32561
2013-14,WA,PHN,PHN501,Perth North,Metropolitan,0-64,895910
2013-14,WA,PHN,PHN501,Perth North,Metropolitan,65+,126279
2013-14,WA,PHN,PHN501,Perth North,Metropolitan,All persons,1022189
2013-14,WA,PHN,PHN501,Perth North,Metropolitan,Females,512240
2013-14,WA,PHN,PHN501,Perth North,Metropolitan,Males,509949
2013-14,WA,PHN,PHN502,Perth South,Metropolitan,0-14,175986
2013-14,WA,PHN,PHN502,Perth South,Metropolitan,15-24,134570
2013-14,WA,PHN,PHN502,Perth South,Metropolitan,25-44,279101
2013-14,WA,PHN,PHN502,Perth South,Metropolitan,45-64,219634
2013-14,WA,PHN,PHN502,Perth South,Metropolitan,65-79,88899
2013-14,WA,PHN,PHN502,Perth South,Metropolitan,80+,30790
2013-14,WA,PHN,PHN502,Perth South,Metropolitan,0-64,809291
2013-14,WA,PHN,PHN502,Perth South,Metropolitan,65+,119689
2013-14,WA,PHN,PHN502,Perth South,Metropolitan,All persons,928980
2013-14,WA,PHN,PHN502,Perth South,Metropolitan,Females,463011
2013-14,WA,PHN,PHN502,Perth South,Metropolitan,Males,465969
2013-14,WA,PHN,PHN503,Country WA,Regional,0-14,111562
2013-14,WA,PHN,PHN503,Country WA,Regional,15-24,62419
2013-14,WA,PHN,PHN503,Country WA,Regional,25-44,157109
2013-14,WA,PHN,PHN503,Country WA,Regional,45-64,141578
2013-14,WA,PHN,PHN503,Country WA,Regional,65-79,51110
2013-14,WA,PHN,PHN503,Country WA,Regional,80+,14585
2013-14,WA,PHN,PHN503,Country WA,Regional,0-64,472668
2013-14,WA,PHN,PHN503,Country WA,Regional,65+,65695
2013-14,WA,PHN,PHN503,Country WA,Regional,All persons,538363
2013-14,WA,PHN,PHN503,Country WA,Regional,Females,258315
2013-14,WA,PHN,PHN503,Country WA,Regional,Males,280048
2013-14,Tas,PHN,PHN601,Tasmania,Regional,0-14,94572
2013-14,Tas,PHN,PHN601,Tasmania,Regional,15-24,64523
2013-14,Tas,PHN,PHN601,Tasmania,Regional,25-44,124002
2013-14,Tas,PHN,PHN601,Tasmania,Regional,45-64,140758
2013-14,Tas,PHN,PHN601,Tasmania,Regional,65-79,66156
2013-14,Tas,PHN,PHN601,Tasmania,Regional,80+,22220
2013-14,Tas,PHN,PHN601,Tasmania,Regional,0-64,423855
2013-14,Tas,PHN,PHN601,Tasmania,Regional,65+,88376
2013-14,Tas,PHN,PHN601,Tasmania,Regional,All persons,512231
2013-14,Tas,PHN,PHN601,Tasmania,Regional,Females,257507
2013-14,Tas,PHN,PHN601,Tasmania,Regional,Males,254724
2013-14,NT,PHN,PHN701,Northern Territory,Regional,0-14,53489
2013-14,NT,PHN,PHN701,Northern Territory,Regional,15-24,36043
2013-14,NT,PHN,PHN701,Northern Territory,Regional,25-44,82423
2013-14,NT,PHN,PHN701,Northern Territory,Regional,45-64,55072
2013-14,NT,PHN,PHN701,Northern Territory,Regional,65-79,12745
2013-14,NT,PHN,PHN701,Northern Territory,Regional,80+,1950
2013-14,NT,PHN,PHN701,Northern Territory,Regional,0-64,227027
2013-14,NT,PHN,PHN701,Northern Territory,Regional,65+,14695
2013-14,NT,PHN,PHN701,Northern Territory,Regional,All persons,241722
2013-14,NT,PHN,PHN701,Northern Territory,Regional,Females,114887
2013-14,NT,PHN,PHN701,Northern Territory,Regional,Males,126835
2013-14,ACT,PHN,PHN801,Australian Capital Territory,Metropolitan,0-14,70623
2013-14,ACT,PHN,PHN801,Australian Capital Territory,Metropolitan,15-24,57667
2013-14,ACT,PHN,PHN801,Australian Capital Territory,Metropolitan,25-44,122346
2013-14,ACT,PHN,PHN801,Australian Capital Territory,Metropolitan,45-64,89263
2013-14,ACT,PHN,PHN801,Australian Capital Territory,Metropolitan,65-79,32808
2013-14,ACT,PHN,PHN801,Australian Capital Territory,Metropolitan,80+,10550
